ID	Pc1.A	Pc1.R	Pc1.N	Pc1.D	Pc1.C	Pc1.Q	Pc1.E	Pc1.G	Pc1.H	Pc1.I	Pc1.L	Pc1.K	Pc1.M	Pc1.F	Pc1.P	Pc1.S	Pc1.T	Pc1.W	Pc1.Y	Pc1.V	Pc2.Hydrophobicity.1	Pc2.Hydrophilicity.1	Pc2.Hydrophobicity.2	Pc2.Hydrophilicity.2	Pc2.Hydrophobicity.3	Pc2.Hydrophilicity.3	Pc2.Hydrophobicity.4	Pc2.Hydrophilicity.4
43|1	0.25183634212330425	0.0	0.0	0.0	0.0	0.0	0.0	0.06405401499108775	0.0	0.192586282610735	0.39728818524099235	0.07778783628219645	0.19650195300096343	0.0	0.050175876919103544	0.2718724250429597	0.0	0.0	0.0	0.0	0.5277852310193879	0.6057903783137644	0.4617851211901778	0.3636553079371755	0.6295253875908855	0.6612000653994161	0.5498857972817441	0.5382019364338677
53|1	0.08852323922748295	0.0	0.0	0.0	0.23334010547395787	0.22409185152502903	0.0	0.06754706860093164	0.0	0.13539238557661787	0.16758139084050705	0.0	0.0	0.0	0.15873634466964273	0.19113228470933027	0.2797906370579837	0.0	0.1909020037045606	0.27193010502342835	0.49392685958050053	0.6274021003809475	0.414654590421537	0.37974029047891866	0.5472482276428735	0.6253439811392503	0.497409129839562	0.5359627665289227
55|1	0.0	0.09829966539422257	0.0	0.0	0.0	0.0	0.0	0.07224558478720584	0.0	0.0	0.17923820872603718	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.40836196685802867	0.0	0.5018908964198907	0.5987731927545691	0.3187923866469051	0.32354258174700895	0.49536868328491573	0.7812062691304125	0.4255646442683826	0.42493143826072677
56|1	0.27691372287772115	0.0	0.0	0.0	0.0	0.11683204962878642	0.0863489961053061	0.2817295646354783	0.0	0.14117577059048447	0.34947950562767144	0.3421352003113039	0.0	0.2677953340188995	0.0	0.19929664038078343	0.2917420992505576	0.0	0.19905652275406266	0.14177289941356855	0.44803671114386817	0.5923236343998265	0.3505225446206699	0.27617046854769844	0.47379630864169353	0.585936328145636	0.5714412545392683	0.5967584471309199
57|1	0.12379882622109954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1171804130960516	0.22943573778481702	0.0	0.17958345116215071	0.0	0.0	0.0	0.0	0.0	0.0	0.28620100975019463	0.5375233112985995	0.5179371519144746	0.47390550606452614	0.34390281967502223	0.41392425858877235	0.0	0.0
58|1	0.0	0.09552422595739662	0.11191736165138949	0.0	0.7275736074555978	0.0	0.08607116048102531	0.3510288431786929	0.0	0.0703607624558088	0.08708875600888513	0.0	0.0	0.0	0.16498431862083926	0.2979830784012354	0.4362050893974943	0.1542881348669138	0.0	0.28263346483852586	0.5130294006313574	0.6067233450845397	0.4355078773792937	0.37405522975934974	0.4532190853544613	0.574759742022913	0.4612986839856011	0.527846632412178
59|1	0.3241156443073687	0.42062971018487433	0.0	0.10174618188303268	0.0	0.0	0.0	0.1236571427555041	0.0	0.061965070794445895	0.3067880871745883	0.3754261765295939	0.0	0.11754111035836524	0.0	0.0	0.0	0.0	0.0	0.37336298058022815	0.4879098074336976	0.6389740180451523	0.2111213893997029	0.27126440447180244	0.6854023821782484	0.735756205181232	0.7230693143736608	0.6900631846984185
60|1	0.08755220708094637	0.0	0.0	0.0	0.0	0.0	0.0	0.06680612898340064	0.0	0.0	0.0	0.0	0.20494476137833065	0.0	0.0	0.0	0.13836077401133653	0.0	0.0	0.13447362000261753	0.5703210858408098	0.632456861573076	0.47421723538175115	0.3767659567089637	0.5313556343007779	0.6150999408635897	0.45782354643113005	0.5188814117595726
61|1	0.0	0.0	0.06176295682955346	0.0	0.0	0.0	0.0	0.07748781410593424	0.0	0.3106355382171311	0.09612197782987152	0.47050988126008536	0.0	0.0	0.0	0.0	0.0	0.17029156642881263	0.0	0.4679241423269988	0.40538023943938223	0.5343567343343884	0.2824967715274569	0.18248003407115093	0.6159189689649884	0.6863993085029497	0.36569287723617094	0.4647840090616073
63|1	0.09835320044802097	0.10211238840658543	0.0	0.0	0.0	0.12448793663758494	0.0	0.07504775509526451	0.08207735327524615	0.0	0.1861902735205998	0.0	0.0	0.0	0.0	0.0	0.0	0.16492915588852275	0.0	0.0	0.4852613566407675	0.638696265535401	0.35264789466458235	0.3816253768793125	0.41109352484510125	0.4816685095060077	0.3715996113710852	0.5357026932733354
64|1	0.5111183529515527	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5644256774967176	0.7104397916222732	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1308399058168512	0.48504851415224304	0.6401874148231729	0.2737947074025826	0.25806449632562717	0.5994910790743447	0.7250496451613272	0.6076733610581362	0.6631232671924697
65|1	0.0	0.44709568532095273	0.05238228209162095	0.21629608092966615	0.0	0.10901325532325495	0.241710691267762	0.13143763658730512	0.0	0.19759171871592904	0.326091159902473	0.47885754035534034	0.0	0.4997471364156511	0.051479978865181894	0.1859590378832502	0.13610886762320076	0.0	0.0	0.2645699588562465	0.4751533312011126	0.647711847865475	0.26542684654324666	0.2832622867725765	0.5777622158867043	0.7131226642648626	0.605253293228261	0.6431337068323852
66|1	0.28522262517091956	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2699743290148603	0.3524010980100821	0.0	0.41374595334404235	0.0	0.0	0.0	0.0	0.0	0.0	0.4234312043126212	0.5509221944293652	0.3435749575170236	0.3322412597646264	0.3985933375179103	0.48961348256117665	0.5841469228261086	0.6190910231632925
67|1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8647626828799599	0.5079538267015037	0.0	0.0	0.0	0.0	0.0	0.0	0.1970205976483783	0.0	0.3954899363586103	0.5238603348017515	0.2678553334863675	0.14681290051658494	0.6221352059649794	0.7498307729300204	0.583643495371814	0.6554566412108993
69|1	0.09298165240433015	0.0965355327711466	0.056551110595633156	0.23350994087392313	0.7352763670367397	0.0	0.08698238849872891	0.35474515553162106	0.0	0.0	0.08801075722344692	0.0	0.0	0.1348798412975841	0.222307991329873	0.0	0.5877642071831187	0.15592157016050387	0.0	0.28562568116815557	0.5188109756361334	0.6310949461834026	0.4233534752406842	0.3352551877725866	0.4605615493401555	0.5753883887002751	0.4523456406424319	0.5094488204444252
70|1	0.1693083028132516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32051381212315355	0.47066733047626835	0.0	0.0	0.0	0.0	0.0	0.0	0.18255824421319722	0.0	0.46495332445346954	0.5782415420912215	0.2706830566909446	0.23119914118233706	0.6544085379932447	0.7933226092981309	0.6005103225574229	0.6856104577020724
71|1	0.0	0.3888190599137558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08862089145725023	0.0	0.0	0.27162979055064645	0.1119245703096589	0.0	0.0	0.47100748752642774	0.0	0.14380289004866562	0.6350939194747717	0.7539370351106337	0.24381988856164807	0.36725076382832417	0.45930142655422435	0.6439988570861584	0.386684202961079	0.4533433109501472
72|1	0.17970058563071586	0.0	0.0	0.11282299260279566	0.0	0.0	0.0	0.27423867204030444	0.0	0.13742205544204938	0.34018721341027996	0.24977863908163622	0.21032418753066603	0.0	0.10741064285093806	0.29099632871777126	0.14199249194922497	0.0	0.0	0.27600661447644587	0.4950728127495479	0.5927540951212199	0.4038968067865773	0.32978496098202553	0.5542872262129711	0.6335171805714959	0.5029379472763569	0.5407520176905941
74|1	0.0	0.09654281349330764	0.0	0.0	0.0	0.0	0.0	0.14190876418255013	0.0	0.1422220572621576	0.17603479001190356	0.17233542217106812	0.2176705809440996	0.0	0.0	0.10038683720952139	0.0	0.15593332978515878	0.0	0.0	0.39237930832276874	0.5703695339416626	0.24665843258993442	0.139063080883552	0.5778747607422081	0.6769401460763185	0.5829002462161934	0.6721224202229048
76|1	0.7951147260221142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6446921668700518	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.3806359598335186	0.49515095782869534	0.3179622946644833	0.1607096661898464	0.5803957821612414	0.7033349581087758	0.4731541157313726	0.48907973544562405
80|1	0.4483556432999787	0.0	0.0	0.0	0.3545487738941024	0.0	0.0	0.342114789968013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.566837418793854	0.0	0.0	0.0	0.5032345592661917	0.6137763350948735	0.4349918061285415	0.3728747029844941	0.5236929095587003	0.6122983557944784	0.4873821057235017	0.5175587189547307
82|1	0.46363466124988023	0.0	0.056396190702865744	0.0	0.0	0.0	0.08674410312896436	0.14150933717523811	0.07738214050729694	0.14182174843674275	0.08776965467165215	0.34370070803902397	0.21705790906842506	0.4035310273311346	0.0	0.10010428091928027	0.0	0.0	0.0	0.14242160954164443	0.4735324435132575	0.6023400164521674	0.30499510919883965	0.23300617042043567	0.588344714732433	0.6278719483798755	0.5227044766883975	0.5609838592176919
